0000	Ausgabe Ende
0576	Signalleitung von Zentralverriegelung: Tueren auf
0577	Relais fuer Kompressor-Niveauregelung-J403
0578	Niveauregelung
0579	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
057A	Datenleitung von Navigation
057B	Glasbruchsensoren hinten
057C	Ventile fuer Motorlagerung Stufe 2
057D	Ventil 2 fuer Abgasrueckfuehrung-N213
057E	keine Flammenbildung
057F	Flammenabbruch
0580	Unterspannungsabschaltung (Festwert)
0581	wiederholte Flammenunterbrechung
0582	Heizgeraet ueberhitzt
0583	Temperaturfuehler-G18
0584	Gluehkerze mit Flammenueberwachung-Q8
0585	Dosierpumpe-V54
0586	Verbrennungsluftgeblaese-V6
0587	Umwaelzpumpe-V55
0588	Signal fuer Ansteuerung Frischluftgeblaese
0589	Signal fuer Ansteuerung Wasserheizung
058A	Schaltventil 1 fuer Fahrdynamikregelung-N225
058B	Schaltventil 2 fuer Fahrdynamikregelung-N226
058C	Hochdruckschaltventil 1 fuer Fahrdynamikregelung-N227
058D	Hochdruckschaltventil 2 fuer Fahrdynamikregelung-N228
058E	Hydraulikpumpe fuer Fahrdynamikregelung-V156
058F	Sensor fuer Querbeschleunigung-G200
0590	Geber fuer Drehrate-G202,Signalleitung 
0591	Geber fuer Drehrate-G202, Referenzleitung 
0592	Bedienungseinheit im Lenkrad-E221
0593	Radio lauter
0594	Radio leiser
0595	Suchlauf Radiosender aufwaerts
0596	Suchlauf Radiosender abwaerts
0597	Telefonspeicher
0598	naechster Telefonspeicher
0599	Lautsprecher Telefon/Navigation-R39
059A	Relais fuer Bremslichtunterdrueckung ESP-J508
059B	Geber 1 fuer Bremsdruck-G201
059C	Bremsfluessigkeitsstand zu niedrig
059D	Regellage nicht gelernt
059E	Fahrzeug wird angehoben
059F	Schraeglage pruefen
05A0	Kraftstoffuellstandssignal
05A1	Geber fuer Kraftstoffmangel-G210
05A2	Aussetzer durch Kraftstoffmangel
05A3	Anpassung an Batterie nicht erfolgt
05A4	Unterspannungsabschaltung (Automatik)
05A5	Geber fuer Laengsverstellung,Fahrersitz-G227
05A6	Geber fuer Lehnenverstellung,Fahrersitz-G230
05A7	Geber fuer Hoehenverstellung,Fahrersitz-G231
05A8	Geber fuer Neigungsverstellung,Fahrersitz-G232
05A9	Schalter fuer Neigungsverstellung Fahrersitz-E222,zurueck
05AA	Schalter fuer Neigungsverstellung Fahrersitz-E222,vor
05AB	Schalter fuer Laengs- und Hoehenverstellung-E61,auf
05AC	Schalter fuer Laengs- und Hoehenverstellung-E61,ab
05AD	Schalter fuer Laengs- und Hoehenverstellung-E61,vor
05AE	Schalter fuer Laengs- und Hoehenverstellung-E61,zurueck
05AF	Schalter fuer Lehnenverstellung-E96,vor
05B0	Schalter fuer Lehnenverstellung-E96,zurueck
05B1	Signal fuer Spiegelposition
05B2	Signal von Zentralverriegelung
05B3	Taster Fahrer 1/Memorysitz-E218
05B4	Taster Fahrer 2/Memorysitz-E219
05B5	Taster Fahrer 3/Memorysitz-E220
05B6	Ultraschallsensor fuer Diebstahlwarnanlage-G209
05B7	Alarm durch Sensor fuer Diebstahlwarnanlage
05B8	Geber fuer Bremsdruck/Querbeschleunigung
05B9	Signalleitung vom Kombiinstrument
05BA	Signalleitung zum Kombiinstrument
05BB	Sensor fuer Reifendruck vorn links-G222
05BC	Sensor fuer Reifendruck vorn rechts-G223
05BD	Sensor fuer Reifendruck hinten links-G224
05BE	Sensor fuer Reifendruck hinten rechts-G225
05BF	Sensor fuer Reifendruck Reserverad-G226
05C0	Antenne fuer Reifendruckueberwachung vorn links-R59
05C1	Antenne fuer Reifendruckueberwachung vorn rechts-R60
05C2	Antenne fuer Reifendruckueberwachung hinten links-R61
05C3	Antenne fuer Reifendruckueberwachung hinten rechts-R62
05C4	Antenne Reifendruckueberwachung Reserverad-R63
05C5	System abgeschaltet
05C6	ueberwachung Reserverad abgeschaltet
05C7	Geber fuer Kopfstuetzenverstellung-G129
05C8	Schalter fuer Kopfstuetzenverstellung-E155, auf
05C9	Schalter fuer Kopfstuetzenverstellung-E155, ab
05CA	Motoren fuer Zentralverriegelung
05CB	Ansteuerung Heckdeckelfernentriegelung
05CC	Schluesseltaster ZV verriegeln
05CD	Schluesseltaster ZV entriegeln
05CE	Systemfunktionstest aktiviert
05CF	Systemfunktionstest 
05D0	Geber fuer Kuehlmitteltemperatur - Heizung-G241
05D1	ueberhitzungsfuehler-G189
05D2	Flammenwaechter-G64
05D3	Gluehkerze fuer Heizung-Q9
05D4	Funktionssperre
05D5	Lampe fuer Blinklicht vorne links-M5
05D6	Lampe fuer Standlicht links-M1
05D7	Lampe fuer Fernlichtscheinwerfer links-M30
05D8	Lampe fuer Nebelscheinwerfer links-L22
05D9	Lampe fuer Blinklicht vorne rechts-M7
05DA	Lampe fuer Standlicht rechts-M3
05DB	Lampe fuer Fernlichtscheinwerfer rechts-M32
05DC	Lampe fuer Nebelscheinwerfer rechts-L23
05DD	Lampe fuer Blinklicht hinten links-M6
05DE	Lampe fuer Nebelschlussleuchte links-L46
05DF	Lampe fuer hochgesetzte Bremsleuchte-M25
05E0	Kennzeichenleuchte-X
05E1	Lampe fuer Blinklicht hinten rechts-M8
05E2	Lampe fuer Nebelschlussleuchte rechts-L47
05E3	Initialisierung nicht erfolgreich
05E4	Abschaltung da Endlage nicht erreicht
05E5	Spoiler nicht ausgefahren bei Geschwindigkeit groesser Warnschwelle
05E6	Spoiler nicht ausgefahren bei Geschwindigkeit groesser Alarmschwelle
05E7	Schalter fuer Heckspoiler verfahren
05E8	Steuergeraet fuer Schiebedach
05E9	Schiebeaufstelldach kann nicht senken
05EA	Regler fuer Schiebedachverstellung
05EB	Freigabesignal vom Komfortsystem
05EC	Klemme 30 links
05ED	Steuergeraet fuer Anhaengererkennung-J345
05EE	Lampe fuer Rueckfahrtlicht links-M16
05EF	Lampe fuer Rueckfahrtlicht rechts-M17
05F0	Steuergeraet fuer Regen- und Lichterkennung-J520
05F1	Sensor fuer Reifendruck
05F2	Bedienhoerer fuer Telefon-R37
05F3	Mikrofon fuer Telefon-R38
05F4	Antenne fuer Telefon
05F5	Telefonkarte fuer Telematik
05F6	Taster fuer Notruf-E276
05F7	Taster fuer Pannenruf-E275
05F8	Zusatzantenne fuer Telematik-R90
05F9	Zusatzlautsprecher fuer Telematik-R91
05FA	Stummschaltung Radio
05FB	Notbatterie
05FC	Signalleitung zum Kombi
05FD	Kl. 56 (Scheinwerferlicht)
05FE	Ansteuerung Stellmotor fuer Leuchtweitenregelung links-V48
05FF	Ansteuerung Stellmotor fuer Leuchtweitenregelung rechts-V49
0600	Fahrzeug wird abgesenkt
0601	Geber fuer Fahrzeugniveau-Versorgungsspannung
0602	Stellmotoren fuer Leuchtweitenregulierung-V48/V49
0603	Scheinwerfer wurden nicht justiert
0604	Scheinwerfer werden gesenkt
0605	Scheinwerfer werden angehoben
0606	Geber fuer Drehrate-G202
0607	Warnsummer fuer Einparkhilfe-H15
0608	Kontrollampe fuer Einparkhilfe-K136
0609	Geber fuer Einparkhilfe hinten links-G203
060A	Geber fuer Einparkhilfe hinten links mitte-G204
060B	Geber fuer Einparkhilfe hinten rechts mitte-G205
060C	Geber fuer Einparkhilfe hinten rechts-G206
060D	Versorgungsspannung fuer Geber Einparkhilfe
060E	Signal fuer Rueckwaertsgang
060F	Signal zum Schliessen Zentralverriegelung
0610	Motor fuer Zentralverriegelung-Fahrertuer-V56,LOCK
0611	Motor fuer Zentralverriegelung-Beifahrertuer-V57,LOCK
0612	Motoren fuer Zentralverriegelung-Tueren hinten,LOCK
0613	Motoren fuer Zentralverriegelung,SAVE
0614	Motoren fuer Zentralverriegelung,UNLOCK
0615	Kontaktschalter im Schliesszylinder\nFahrerseite-F241,oeffnen
0616	Kontaktschalter im Schliesszylinder\nFahrerseite-F241,schliessen
0617	Fahrertuer
0618	Beifahrertuer
0619	Tuer hinten links
061A	Tuer hinten rechts
061B	Schalter fuer Innenverriegelung\nFahrerseite-E150,LOCK
061C	Schalter fuer Innenverriegelung\nFahrerseite-E150,UNLOCK
061D	Kofferraumleuchte-W3
061E	Signal fuer Innenraumueberwachung aktivieren
061F	Kontaktschalter fuer Diebstahlwarnanlage-F120
0620	Signal fuer Komfortoeffnung
0621	Signal fuer Komfortschliessung
0622	Abschaltverzoegerung Klemme 15
0623	Signal fuer Sitzmemory
0624	Alarm durch Tuerkontaktschalter Beifahrerseite
0625	Alarm durch Tuerkontaktschalter hinten links
0626	Alarm durch Tuerkontaktschalter hinten rechts
0627	Regelung abgeschaltet
0628	
0629	Abschaltung durch uebertemperatur
062A	Kontrollampe fuer Airbag aus,Beifahrerseite-K145
062B	Signal Sitzbelegungssensor Beifahrerseite-G128
062C	Belegungssensor Kindersitz,Beifahrerseite-G211
062D	falsches Bauteil erkannt
062E	Signal fuer Kuehlmitteltemperatur
062F	Leck im System erkannt
0630	Fahrzeug zu tief,Hochpumpen gestartet
0631	Kontaktschalter Schliesszylinder\nBeifahrerseite-F242,oeffnen
0632	Kontaktschalter Schliesszylinder\nBeifahrerseite-F242,schliessen
0633	Zuender 2 fuer Airbag Fahrerseite-N250
0634	Zuender fuer Kopfairbag Fahrerseite-N251
0635	Zuender Kopfairbag Beifahrerseite-N252
0636	Zuender fuer Unterbrechung Batterie-N253
0637	Kontrollampe Airbag aus,Fahrerseite-K144
0638	Sensor fuer Luftguete-G238
0639	beheizbare Frontscheibe-Z2
063A	Relais fuer Generatorzuschaltung-J442
063B	Taster fuer Reifendruckkontrolle-E226
063C	Stellmotor fuer Frisch-/Umluftklappe-V154
063D	Vorladekreis Fahrbatterie
063E	Spannung Fahrbatterie
063F	Hauptrelais fuer Elektroantrieb-J437
0640	Drosselklappensignal vom Motorsteuergeraet
0641	Geber fuer Rotorlage im Elektromotor
0642	Fahrmotor fuer Elektroantrieb-V141
0643	Umrichter-C21
0644	Potentiometer 1 fuer Gangerkennung-G239
0645	Potentiometer 2 fuer Gangerkennung-G240
0646	Signal von Batterieueberwachung
0647	ueberstromabschaltung
0648	Kontrollampentest
0649	Luefter im Steuergeraet
064A	Schalter fuer Antriebsart-E228
064B	duo-Schalter auf Elektroantrieb stellen
064C	Ventil fuer Kupplungssteller-N255
064D	Relais fuer Pumpe Kraftstoffkuehlung-J445
064E	Kapazitaetsverlust Fahrbatterie
064F	Schalter fuer Fernentriegelung Tankklappe-E204
0650	Signalleitung zur Innenraumueberwachung
0651	Bitte Fehlerspeicher der Innenraumueberwachung auslesen
0652	Ventil fuer automatisches Verdeck -N272
0653	Motoren fuer Ablagefaecher hinten
0654	Taster fuer Verdeckbetaetigung -E137
0655	Netzstecker ausserhalb der Halterung
0656	Spannungswandler (264V/12V) -A13
0657	Signal fuer Generatorladen
0658	Schalter fuer Antriebsart -E228, Startstellung 
0659	Warnsummer fuer Einparkhilfe vorn-H22
065A	Geber fuer Einparkhilfe vorne rechts-G252
065B	Geber fuer Einparkhilfe vorne rechts Mitte-G253
065C	Geber fuer Einparkhilfe vorne links Mitte-G254
065D	Geber fuer Einparkhilfe vorne links-G255 
065E	Zuender Zusatzseitenairbag FS-N277
065F	Zuender Zusatzseitenairbag BFS-N278
0660	Verlust Hochstromkapazitaet
0661	Ausfall Thermomanagement
0662	Zuender fuer Unterbrechung Batterie, abgeschaltet
0663	Crashdaten Zuender fuer Unterbrechung Batterie gespeichert
0664	Zuender Gurtstraffer hinten Fahrerseite-N196
0665	Zuender Gurtstraffer hinten Beifahrerseite-N197
0666	Crash-Sensor Seitenairbag hinten Fahrerseite-G256
0667	Crash-Sensor Seitenairbag hinten Beifahrerseite-G257
0668	Gurtschalter hinten Fahrerseite-E258
0669	Gurtschalter hinten Beifahrerseite-E259
066A	Sitzbelegungssensor hinten Fahrerseite-G177
066B	Sitzbelegungssensor hinten Beifahrerseite-G178
066C	Seitenairbag hinten Fahrerseite abgeschaltet
066D	Seitenairbag hinten Beifahrerseite abgeschaltet
066E	Kopfairbag Fahrerseite abgeschaltet
066F	Kopfairbag Beifahrerseite abgeschaltet
0670	Gurtstraffer hinten Fahrerseite abgeschaltet
0671	Gurtstraffer hinten Beifahrerseite abgeschaltet
0672	Crash-Daten Seitenairbag Fahrerseite hinten gespeichert
0673	Crash-Daten Seitenairbag Beifahrerseite hinten gespeichert
0674	Schluesselschalter FahrerairbagE285
0675	Warnlampe Fahrerairbag deaktiviert
0676	Warnlampe Gurtschalter-K163
0677	Schalter fuer Kindersitzerkennung -F262
0678	Crashsignal
0679	Schalter fuer Kindersitzerkennung links -F263
067A	Schalter fuer Kindersitzerkennung rechts -F264
067B	Crashschwelle Gurtstraffer ueberschritten
067C	Crashschwelle US-Airbag ueberschritten
067D	Crashschwelle RDW-Airbag ueberschritten
067E	Schalter fuer Innenverriegelung\Beifahrerseite-E198,LOCK
067F	Schalter fuer Innenverriegelung\Beifahrerseite-E198,UNLOCK
0680	Schalter fuer Innenverriegelung\hinten links-E 273,LOCK
0681	Schalter fuer Innenverriegelung\hinten links-E 273,UNLOCK
0682	Schalter fuer Innenverriegelung\hinten rechts-E274 ,LOCK
0683	Schalter fuer Innenverriegelung\hinten rechts-E 274,UNLOCK
0684	Taster Fahrer 4/Memorysitz-E282
0685	Taster fuer Memory, Fahrersitz-E283
0686	Signalleitung von Bedieneinheit fuer Garagentoroeffnung-E284
0687	Sensor fuer Distanzregelung,links-G258
0688	Sensor fuer Distanzregelung,rechts-G259
0689	Poti fuer Membranweg im Bremskraftverstaerker
068A	ADR-Loeseschalter im Bremskraftverstaerker
068B	ADR-Loeseschalter/Poti fuer Membranweg
068C	ADR-Loeseschalter/Druck im Bremskraftverstaerker
068D	Ventil fuer ADR-Bremseneingriff
068E	Schalter fuer Distanzwahl, ADR-E260
068F	Drehzahlsignal vom ABS fuer Rad vorne links
0690	Drehzahlsignal vom ABS fuer Rad vorne rechts
0691	Drehzahlsignal vom ABS fuer Rad hinten links
0692	Drehzahlsignal vom ABS fuer Rad hinten rechts
0693	Raddrehzahlsignale/Geschwindigkeit
0694	Steuergeraet 2 fuer Diesel-Direkteinspritzung -J494
0695	Luftmassenmesser 2 -G246
0696	Steuergeraet fuer Kuehlerluefternachlauf -J138
0697	Magnetventil 2 fuer Ladedruckbegrenzung -N274
0698	Relais fuer Kuehlmittelpumpe -J235
0699	Ventile fuer Getriebelagerung
069A	Geber fuer Kraftstoffdruck -G247
069B	Regler fuer Kraftstoffdruck -N276
069C	Relais fuer Kuehlmittelzusatzpumpe -J496
069D	Ventil fuer Drosselklappe -N211
069E	Signalleitung vom Airbag
069F	Geber 2 fuer Kraftstofftemperatur -G248
06A0	Fussraumleuchte hl -W45
06A1	Fussraumleuchte hr -W46
06A2	Freigabesignal fuer Fensterheber
06A3	Motor fuer ZV, Heckklappe -V53
06A4	Signalhorn fuer DWA -H8
06A5	Dimmung fuer Innenlicht
06A6	Fussraumleuchte links -W9
06A7	Fussraumleuchte rechts -W10
06A8	Kl. 58 (Beleuchtungsdimmung)
06A9	Umschalter fuer Spiegelverstellung -E48
06AA	Schalter fuer Spiegelverstellung -E43
06AB	Tuerkontaktschalter Beifahrerseite-F3
06AC	Tuerkontaktschalter hinten links -F10
06AD	Tuerkontaktschalter hinten rechts -F11
06AE	Motoren fuer ZV, FahrerseiteV56
06AF	Motoren fuer ZV, Beifahrerseite-V57
06B0	Motoren fuer ZV, hinten links-V115
06B1	Motoren fuer ZV, hinten rechtsV97
06B2	Umschaltung Audio/Telefon
06B3	Gespraechsfunktion Telefon
06B4	Ansteuerung GRA-Wiederaufnahme/Beschleunigen
06B5	Ansteuerung GRA-Speichern/Reduzierung
06B6	Ansteuerung GRA-ausschalten
06B7	Geber fuer Laengsverstellung,Beifahrersitz-G278
06B8	Geber fuer Lehnenverstellung,Beifahrersitz-G279
06B9	Geber fuer hintere Hoehenverstellung,Beifahrersitz-G280
06BA	Geber fuer vordere Hoehenverstellung,Beifahrersitz-G281
06BB	Geber fuer Hoehenverstellung Kopfstuetze, Beifahrersitz-G282
06BC	Schalter fuer Laengsverstellung Beifahrersitz-E64,vor
06BD	Schalter fuer Laengsverstellung Beifahrersitz-E64,zurueck
06BE	Schalter fuer Lehnenverstellung, Beifahrersitz-E98,vor
06BF	Schalter fuer Lehnenverstellung, Beifahrersitz-E98,zurueck
06C0	Schalter fuer hintere Hoehenverstellung Beifahrersitz-E66,auf
06C1	Schalter fuer hintere Hoehenverstellung Beifahrersitz-E66,ab
06C2	Schalter fuer vordere Hoehenverstellung Beifahrersitz-E65,auf
06C3	Schalter fuer vordere Hoehenverstellung Beifahrersitz-E65,ab
06C4	Schalter fuer Kopfstuetzenverstellung Beifahrersitz-E170,auf
06C5	Schalter fuer Kopfstuetzenverstellung Beifahrersitz-E170,ab
06C6	Potentiometer fuer Spiegelverstellung horizontal, Fahrerseite
06C7	Potentiometer fuer Spiegelverstellung horizontal, Beifahrerseite
06C8	Potentiometer fuer Spiegelverstellung vertikal, Fahrerseite
06C9	Potentiometer fuer Spiegelverstellung vertikal, Beifahrerseite
06CA	Crashsensor fuer Frontairbag, Fahrerseite-G283
06CB	Crashsensor fuer Frontairbag, Beifahrerseite-G284
06CC	Zuender fuer Gurtstraffer-2-, Fahrerseite-N297
06CD	Zuender fuer Gurtstraffer-2-, Beifahrerseite-N298
06CE	Zuender fuer Knieairbag, Fahrerseite-N295
06CF	Zuender fuer Knieairbag, Beifahrerseite-N296
06D0	Zuendanlassschalter- D (Klemme P)
06D1	Taste fuer Sprechfunkgeraet-E76
06D2	Schalter fuer Alarmanlage-E75
06D3	Geber fuer beheizbares Lenkrad-Z36
06D4	Schalter fuer Tiptronic im Lenkrad, hoch
06D5	Schalter fuer Tiptronic  im Lenkrad, runter
06D6	Multifunktionstasten  im Lenkrad, links
06D7	Multifunktionstasten  im Lenkrad, rechts
06D3	 beheizbares Lenkrad-Z36
06D9	Scheibenwischermotor-V, Stufe 1
06DA	Scheibenwischermotor-V, Stufe 2
06DB	Lichtschalter-E1, Standlicht
06DC	Schalter fuer Nebelscheinwerfer und -schlussleuchte-E23, Nebelscheinwerfer
06DD	Pumpe fuer Scheinwerfer-Reinigungsanlage-V11
06DE	Lampen fuer Bremslichter 
06DF	Relais fuer Doppeltonhorn
06E0	Steuergeraet Lenkhilfe-J500 keine Kommunikation mit Motorsteuergeraet
06E1	Magnet fuer ueberrollschutz, Fahrerseite-N309
06E2	Magnet fuer ueberrollschutz, Beifahrerseite-N310
06E3	ueberrollschutz zu viele Ausloesungen
06E4	Achtung: Verdeck muss geoeffnet sein. ueberrollschutz wird aktiviert.
06E5	Motorsteuergeraet - Regeldifferenz
06E6	Bremsensteuergeraet - Regeldifferenz
06E7	Geber fuer Fahrzeugniveau links-Versorgungsspannung
06E8	Geber fuer Fahrzeugniveau rechts-Versorgungsspannung
06E9	Geber fuer Fahrzeugniveau vorn rechts-G289
06EA	Geber fuer Kompressortemperatur Niveauregelung-G290
06EB	Steuergeraet fuer Leuchtweitenregelung-J431
06EC	Signalleitung von Druckgeber Niveauregelung-G291
06ED	Ventil fuer Druckspeicher Niveauregelung-N311
06EE	 Steuergeraet fuer Leuchtweitenregelung-J431, Versorgungsspannung
06EF	Signalleitung zum Steuergeraet fuer Leuchtweitenregelung-J431
06F0	Bedienungseinheit fuer Niveauregelung-E281
06F1	Redundanter Signalpfad von Bedienungseinheit fuer Niveauregelung-E281
06F2	Anhaenger-Signal
06F3	Signal von Diebstahlwarnanlage: Innenraumueberwachung aktiv
06F4	Geber fuer Fahrzeugniveau
06F5	extremer Fahrzeugschiefstand
06F6	Fahrzeug wird auf Normalniveau gebracht. 
06F7	Ansteuerung der LED´s im Bedienteil fuer Niveauregelung
06F8	Fahrzeug wird vorne links abgesenkt. 
06F9	Fahrzeug wird vorne rechts abgesenkt. 
06FA	Fahrzeug wird hinten links abgesenkt. 
06FB	Fahrzeug wird hinten rechts abgesenkt.
06FC	Druckspeicher wird gefuellt und geleert. 
06FD	Test i.O.
06FE	Test n.i.O.
06FF	Unterdruckpumpe-V22
0700	Unterdruckpumpe-V22, Ansteuerung Plus
0701	Unterdruckpumpe-V22, Ansteuerung Minus
0702	Steuergeraet falsche Fahrgestellnummer
0703	Unterdrucksystem Bremse
0704	Telematik-SIM-Karte
0705	Ventil fuer Hydraulikdruck Servolenkung-N315
0706	Schalter fuer Innenverriegelung\hinten mitte-E286 ,LOCK
0707	Schalter fuer Innenverriegelung\hinten mitte-E286 ,UNLOCK
0708	Lichtschalter-E1
0709	Tuerwarnleuchte, Fahrerseite-W30
070A	Tuerwarnleuchte, Beifahrerseite-W36
070B	Tuerwarnleuchte, hinten links-W37
070C	Tuerwarnleuchte, hinten rechts-W38
070D	Einstiegsleuchte, Fahrerseite
070E	Einstiegsleuchte, Beifahrerseite
070F	Einstiegsleuchte, hinten links-W33
0710	Einstiegsleuchte, hinten rechts-W34
0711	Stellmotor fuer Temperaturklappe links-V158
0712	Stellmotor fuer Temperaturklappe rechts-V159
0713	Versorgungsspannung fuer Tuersteuergeraet Fahrerseite-J386
0714	Versorgungsspannung fuer Tuersteuergeraet Beifahrerseite-J387
0715	Versorgungsspannung fuer Tuersteuergeraet hinten links-J388
0716	Versorgungsspannung fuer Tuersteuergeraet hinten rechts-J389
0717	Schalter fuer Alarmanlage aus-E217
0718	Tueraussengriffschalter in Fahrertuer-F272
0719	Tueraussengriffschalter in Beifahrertuer-F273
071A	Tueraussengriffschalter in Tuer hinten links-F274
071B	Tueraussengriffschalter in Tuer hinten rechts-F275
071C	Tuerinnengriffschalter in Fahrertuer-F276
071D	Tuerinnengriffschalter in Beifahrertuer-F277
071E	Tuerinnengriffschalter in Tuer hinten links-F278
071F	Tuerinnengriffschalter in Tuer hinten rechts-F279
0720	Kontrollampe fuer Airbags hinten aus-K164
0721	Druckspeicher wird getestet 
0722	Geber fuer Lenkwinkel-G85, Spannungsversorgung KL30
0723	Steuergeraet im Schalttafeleinsatz-J285, Radumfang unplausibel
0724	Lampe fuer Schlusslicht links
0725	Lampe fuer Schlusslicht rechts
0726	Lampen fuer Nebelschlussleuchten
0727	Schalter fuer Fensterheber, vorn und hinten-E154
0728	Antenne fuer Reifendruckueberwachung, vorne-R95
0729	Antenne fuer Reifendruckueberwachung, hinten-R96
072A	Lampe fuer Seitenblinkleuchte links-M18
072B	Lampe fuer Seitenblinkleuchte rechts-M19
072C	Kompressor abgeschaltet
072D	Lesegeraet fuer Chip Card-R99
072E	Sende-/Empfangsmodul 2 fuer Innenraumueberwachung-G305
072F	Sende-/Empfangsmodul 1 fuer Innenraumueberwachung-G303
0730	
0731	Potentiometer-Stellmotor fuer\nTemperaturklappe links-G220
0732	Potentiometer-Stellmotor fuer\nTemperaturklappe rechts-G221
082F	Komponentenschutz aktiv
4000	
4001	
4002	
4003	
4004	
4005	
4006	
4007	
4008	
4009	
400A	Bank1, Nockenwellenverstellung Fehlfunktion
400B	Bank1,Nockenwellenspaetverstellung Soll nicht erreicht
400C	Bank1,Nockenwellenfruehverstellung Soll nicht erreicht
400D	Bank1,Nockenwellenverstellung, AuslassFehlfunktion
400E	Bank1,Nockenwellenspaetverstellung, Auslass Soll nicht erreicht
400F	Bank1,Nockenwellenfruehverstellung, Auslass Soll nicht erreicht
4010	
4011	
4012	
4013	
4014	Bank2, Nockenwellenverstellung Fehlfunktion
4015	Bank2,Nockenwellenspaetverstellung Soll nicht erreicht
4016	Bank2,Nockenwellenfruehverstellung Soll nicht erreicht
4017	Bank2, Nockenwellenverstellung, Auslass Fehlfunktion
4018	Bank2,Nockenwellenspaetverstellung, Auslass Soll nicht erreicht
4019	Bank2,Nockenwellenfruehverstellung, Auslass Soll nicht erreicht
401A	
401B	
401C	
401D	
401E	Bank1-Sonde1,Heizstromkreis Unterbrechung
401F	Bank1-Sonde1,Heizstromkreis Kurzschluss nach Masse
4020	Bank1-Sonde1,Heizstromkreis Kurzschluss nach Plus
4021	
4022	
4023	
4024	Bank1-Sonde2,Heizstromkreis Unterbrechung
4025	Bank1-Sonde2,Heizstromkreis Kurzschluss nach Masse
4026	Bank1-Sonde2,Heizstromkreis Kurzschluss nach Plus
4027	
4028	
4029	
402A	
402B	
402C	
402D	
402E	
402F	
4030	
4031	
4032	Bank2-Sonde1,Heizstromkreis Elektrischer Fehler
4033	Bank2-Sonde1,Heizstromkreis Kurzschluss nach Masse
4034	Bank2-Sonde1,Heizstromkreis Kurzschluss nach Plus
4035	
4036	
4037	
4038	Bank2-Sonde2,Heizstromkreis Elektrischer Fehler
4039	Bank2-Sonde2,Heizstromkreis Kurzschluss nach Masse
403A	Bank2-Sonde2,Heizstromkreis Kurzschluss nach Plus
403B	
403C	
403D	
403E	
403F	
4040	
4041	Luftsteuerventil fuer Einspritzv.-N212 unplausibles Signal
4042	Luftsteuerventil fuer Einspritzv.-N212 Kurzschluss nach Masse
4043	Luftsteuerventil fuer Einspritzv.-N212 Kurzschluss nach Plus
4044	
4045	
4046	
4047	
4048	
4049	
404A	
404B	
404C	
404D	
404E	
404F	
4050	
4051	
4052	
4053	
4054	
4055	
4056	
4057	
4058	
4059	Ventil fuer Kraftstoffdosierung-N290 unplausibles Signal
405A	Ventil fuer Kraftstoffdosierung-N290 Unterbrechung
405B	Ventil fuer Kraftstoffdosierung-N290 Kurzschluss nach Masse
405C	Ventil fuer Kraftstoffdosierung-N290 Kurzschluss nach Plus
405D	
405E	
405F	
4060	
4061	
4062	
4063	
4064	Luftmassenmesser-G70 Versorgungsspannung
4065	Luftmassenmesser-G70 unplausibles Signal
4066	Luftmassenmesser-G70 Signal zu klein
4067	Luftmassenmesser-G70 Signal zu gross
4068	
4069	Geber fuer Saugrohrdruck-G71 Versorgungsspannung
406A	Saugrohrdruck/Luftdruck=>-G71/-F96 unplausibles Signal
406B	Saugrohrdruck/Luftdruck=>-G71/-F96 Signal zu klein
406C	Saugrohrdruck/Luftdruck=>-G71/-F96 Signal zu gross
406D	
406E	
406F	
4070	Geber fuer Ansauglufttemp.-G42 Signal zu klein
4071	Geber fuer Ansauglufttemp.-G42 Signal zu gross
4072	
4073	
4074	Geber fuer Kuehlmitteltemp.-G62 unplausibles Signal
4075	Geber fuer Kuehlmitteltemp.-G62 Signal zu klein
4076	Geber fuer Kuehlmitteltemp.-G62 Signal zu gross
4077	
4078	Drosselklappenpotentiometer-G69 elektr.Fehler im Stromkreis
4079	Drosselklappenpotentiometer-G69 unplausibles Signal
407A	Drosselklappenpotentiometer-G69 Signal zu klein
407B	Drosselklappenpotentiometer-G69 Signal zu gross
407C	
407D	Kuehlmitteltemp.fuer Lambdaregelung nicht erreicht
407E	
407F	
4080	Ventil fuer Kuehlmittelkreislauf-N214 Temperatur unterhalb Regelbereich
4081	
4082	Bank1-Sonde1 elektr.Fehler im Stromkreis
4083	Bank1-Sonde1 Spannung zu klein
4084	Bank1-Sonde1 Spannung zu gross
4085	Bank1-Sonde1 Signal zu langsam
4086	Bank1-Sonde1 keine Aktivitaet
4087	Bank1-Sonde1,Heizstromkreis elektr.Fehler
4088	Bank1-Sonde2 elektr.Fehler im Stromkreis
4089	Bank1-Sonde2 Spannung zu klein
408A	Bank1-Sonde2 Spannung zu gross
408B	Bank1-Sonde2 Signal zu langsam
408C	Bank1-Sonde2 keine Aktivitaet
408D	Bank1-Sonde2,Heizstromkreis elektr.Fehler
408E	
408F	
4090	
4091	
4092	
4093	
4094	
4095	Kraftstoffbemessungssystem(Bank1) Abweichung der Einspritzzeiten 
4096	Bank2-Sonde1 elektr.Fehler im Stromkreis
4097	Bank2-Sonde1 Spannung zu klein
4098	Bank2-Sonde1 Spannung zu gross
4099	Bank2-Sonde1 Signal zu langsam
409A	Bank2-Sonde1 keine Aktivitaet
